review_id,product_id,order_id,customer_id,review_score,review_text
1000050,846,17000017,1000007,4,Excellent quality Mcdonald PLC Ground. Fast shipping.
1000051,851,17000017,1000007,3,Incredible value. Worth every penny!
1000052,687,18000018,1000009,3,Not worth the price. Missing features.
1000053,838,18000018,1000009,2,Great Nicholson PLC Upon! Fast shipping. Highly recommend!
1000054,923,18000018,1000009,2,"Perfect fit, however Doesn't fit well."
1000055,682,18000018,1000009,4,Poor quality Bray and Sons Own. Short battery life.
1000056,295,19000019,1000009,5,Disappointed with this Owens PLC Hot. Poor build quality.
1000057,916,19000019,1000009,4,Great Rojas-Meyers East! Long battery life. Highly recommend!
1000058,163,19000019,1000009,3,Great Griffin and Sons Hard! Easy to use. Highly recommend!
1000059,869,20000020,1000009,3,Wouldn't recommend. Unappealing design.
1000060,985,20000020,1000009,1,"Not bad, but not great. Average performance."
1000061,175,20000020,1000009,5,Had issues with Unappealing design.
1000062,855,21000021,1000010,5,Really happy with this purchase. Superior performance and Beautiful design.
1000063,238,21000021,1000010,5,Wouldn't recommend. Unappealing design.
1000064,580,21000021,1000010,4,Average Wilkerson-Thomas Table. Standard quality.
1000065,472,22000022,1000011,3,Really happy with this purchase. Easy to use and Easy to use.
1000066,645,22000022,1000011,1,"Decent Pierce-Miller Protect. Excellent build quality, but Poor build quality."
1000067,661,22000022,1000011,1,Wouldn't recommend. Poor build quality.
1000068,592,22000022,1000011,4,"Poor quality Cox, Soto and Lambert Live. Slow delivery."
1000069,969,23000023,1000011,4,Disappointed with this Hill PLC Draw. Poor build quality.
1000070,228,23000023,1000011,1,Average Miller-Quinn Effect. Average performance.
1000071,606,23000023,1000011,2,"Fast shipping, however Slow delivery."
1000072,308,24000024,1000012,4,Poor quality Miller Inc Window. Underperforms.
1000073,857,24000024,1000012,4,"Not bad, but not great. Average performance."
1000074,377,24000024,1000012,2,"Decent Smith and Sons Network. Fast shipping, but Underperforms."
1000075,904,24000024,1000012,4,Good enough for the price. Fair for the price.
1000076,469,24000024,1000012,3,Had issues with Complicated to use.
1000077,549,25000025,1000012,5,Best Mueller-Morrow Month I've bought. Fast shipping.
1000078,454,25000025,1000012,2,Good enough for the price. Fair for the price.
1000079,699,26000026,1000012,2,Great Lopez-Brandt True! Superior performance. Highly recommend!
1000080,636,26000026,1000012,5,Incredible value. Worth every penny!
1000081,163,27000027,1000014,5,Had issues with Overpriced.
1000082,812,27000027,1000014,1,Poor quality Jordan PLC Almost. Complicated to use.
1000083,354,28000028,1000014,3,"Easy to use, however Underperforms."
1000084,88,28000028,1000014,1,"Not bad, but not great. Standard quality."
1000085,963,28000028,1000014,1,Excellent quality Dunn PLC Left. Easy to use.
1000086,120,28000028,1000014,5,Long battery life. Worth every penny!
1000087,904,28000028,1000014,3,Disappointed with this Smith Inc Expect. Underperforms.
1000088,66,29000029,1000014,2,"Not bad, but not great. Standard quality."
1000089,658,29000029,1000014,5,Really happy with this purchase. Perfect fit and Excellent build quality.
1000090,816,30000030,1000015,3,Not worth the price. Short battery life.
1000091,944,30000030,1000015,2,Not worth the price. Overpriced.
1000092,112,30000030,1000015,2,Wouldn't recommend. Missing features.
1000093,906,30000030,1000015,4,"Disappointed with this Barber, Baker and Jacobs Paper. Unappealing design."
1000094,45,30000030,1000015,3,Had issues with Overpriced.
1000095,704,31000031,1000016,4,Not worth the price. Short battery life.
1000096,929,31000031,1000016,3,Poor quality Anderson and Sons Long. Complicated to use.
1000097,299,31000031,1000016,5,Really happy with this purchase. Great customer service and Fast shipping.
1000098,514,32000032,1000016,1,Excellent quality Hogan and Sons Point. Excellent build quality.
1000099,227,32000032,1000016,4,Disappointed with this Fox LLC Operation. Doesn't fit well.
1000100,799,33000033,1000016,3,Disappointed with this Cobb Group Family. Underperforms.
1000101,190,33000033,1000016,4,Wouldn't recommend. Complicated to use.
1000102,15,33000033,1000016,3,"Disappointed with this Snyder, Francis and Lewis Feeling. Missing features."
1000103,408,33000033,1000016,2,Best Price-Obrien Way I've bought. Amazing features.
1000104,630,34000034,1000017,1,Really happy with this purchase. Perfect fit and Superior performance.
1000105,888,34000034,1000017,3,Fast shipping. Worth every penny!
1000106,550,34000034,1000017,1,Best Howe Group Trade I've bought. Superior performance.
1000107,887,34000034,1000017,1,Really happy with this purchase. Amazing features and Incredible value.
1000108,162,34000034,1000017,3,Excellent quality Mason-Thompson Risk. Amazing features.
1000109,461,35000035,1000017,5,Disappointed with this Buchanan Inc Leg. Doesn't fit well.
1000110,980,35000035,1000017,2,Had issues with Short battery life.
1000111,135,35000035,1000017,5,"Excellent quality Klein, Thomas and Jackson That. Amazing features."
1000112,923,35000035,1000017,4,"Great Schaefer, Walters and Sampson School! Great customer service. Highly recommend!"
1000113,36,36000036,1000017,3,Incredible value. Worth every penny!
1000114,236,36000036,1000017,1,Good enough for the price. Fair for the price.
1000115,919,36000036,1000017,3,"Best Davis, Smith and Hobbs Seek I've bought. Amazing features."
1000116,657,37000037,1000018,5,Best Warren-Callahan Anyone I've bought. Amazing features.
1000117,674,37000037,1000018,5,Average King-Oneal Identify. Average performance.
1000118,220,37000037,1000018,2,"Great Clarke, Morrison and Luna Not! Superior performance. Highly recommend!"
1000119,537,37000037,1000018,3,"Decent Thompson and Sons Increase. Great customer service, but Unappealing design."
1000120,469,38000038,1000018,3,Good enough for the price. Fair for the price.
1000121,235,38000038,1000018,3,"Excellent quality Mullins, Harris and Hamilton Too. Superior performance."
1000122,392,38000038,1000018,4,Had issues with Doesn't fit well.
1000123,429,39000039,1000018,5,"Poor quality Lynn, Allen and Davis Prepare. Underperforms."
1000124,114,39000039,1000018,5,Poor quality Bartlett-Miller Case. Unappealing design.
1000125,892,39000039,1000018,5,Not worth the price. Slow delivery.
1000126,59,39000039,1000018,4,Wouldn't recommend. Underperforms.
1000127,600,39000039,1000018,5,Poor quality Davis LLC High. Unappealing design.
1000128,338,40000040,1000018,3,Had issues with Short battery life.
1000129,89,40000040,1000018,3,"Poor quality Williams, Ryan and Joyce Stage. Poor build quality."
1000130,49,41000041,1000018,1,"Not bad, but not great. Meets basic expectations."
1000131,450,41000041,1000018,1,Not worth the price. Underperforms.
1000132,931,42000042,1000019,4,Wouldn't recommend. Unappealing design.
1000133,813,43000043,1000020,2,Excellent quality Gonzalez LLC Out. Superior performance.
1000134,136,43000043,1000020,5,Best Kidd Ltd Realize I've bought. Incredible value.
1000135,123,44000044,1000020,2,"Poor quality Watson, Mitchell and Banks Address. Unresponsive customer service."
1000136,542,44000044,1000020,3,Not worth the price. Underperforms.
1000137,151,44000044,1000020,2,Not worth the price. Slow delivery.
1000138,764,44000044,1000020,5,Perfect fit. Worth every penny!
1000139,497,44000044,1000020,3,Long battery life. Worth every penny!
1000140,79,44000044,1000020,3,Poor quality Miller Group Which. Poor build quality.
1000141,150,44000044,1000020,3,Disappointed with this Kennedy-Turner Today. Doesn't fit well.
1000142,396,45000045,1000020,5,"Not bad, but not great. Fair for the price."
1000143,184,45000045,1000020,5,Not worth the price. Missing features.
1000144,422,45000045,1000020,4,Really happy with this purchase. Long battery life and Great customer service.
1000145,909,45000045,1000020,1,Had issues with Unresponsive customer service.
1000146,728,46000046,1000020,4,Great Neal-Hunter Woman! Long battery life. Highly recommend!
1000147,751,46000046,1000020,1,"Poor quality King, Davidson and Christensen Pick. Overpriced."
1000148,863,46000046,1000020,1,Not worth the price. Poor build quality.
1000149,521,47000047,1000020,3,"Not bad, but not great. Meets basic expectations."
1000150,388,47000047,1000020,4,Beautiful design. Worth every penny!
1000151,240,48000048,1000021,3,Best Mahoney Inc Court I've bought. Perfect fit.
1000152,427,49000049,1000021,2,"Disappointed with this Rivera, Bush and Wagner Outside. Slow delivery."
1000153,706,49000049,1000021,3,Good enough for the price. Standard quality.
1000154,912,49000049,1000021,4,Not worth the price. Slow delivery.
1000155,315,49000049,1000021,4,"Excellent quality Miller, Banks and Marsh Act. Beautiful design."
1000156,507,50000050,1000021,1,Really happy with this purchase. Excellent build quality and Fast shipping.
1000157,617,50000050,1000021,3,Had issues with Doesn't fit well.
1000158,266,51000051,1000022,4,Disappointed with this Dominguez-Cole Surface. Doesn't fit well.
1000159,565,51000051,1000022,1,Disappointed with this Moore PLC Light. Missing features.
1000160,695,52000052,1000022,3,Had issues with Poor build quality.
1000161,115,52000052,1000022,2,"Best Weber, Griffin and Moreno Great I've bought. Incredible value."
1000162,826,52000052,1000022,3,"Decent Welch, Fisher and Lara Send. Fast shipping, but Poor build quality."
1000163,853,53000053,1000022,1,Wouldn't recommend. Unappealing design.
1000164,831,53000053,1000022,1,Poor quality Smith LLC Them. Underperforms.
1000165,771,54000054,1000022,2,Excellent quality Greene-Goodman War. Beautiful design.
1000166,721,54000054,1000022,2,Best Sanchez Inc Team I've bought. Easy to use.
1000167,772,54000054,1000022,4,Not worth the price. Missing features.
1000168,312,55000055,1000023,1,"Excellent quality Cox, Mitchell and Sanchez Wish. Amazing features."
1000169,72,55000055,1000023,4,Great customer service. Worth every penny!
1000170,988,55000055,1000023,1,Poor quality Smith and Sons Fight. Slow delivery.
1000171,26,55000055,1000023,5,Really happy with this purchase. Easy to use and Long battery life.
1000172,374,55000055,1000023,1,Amazing features. Worth every penny!
1000173,882,56000056,1000023,5,Really happy with this purchase. Excellent build quality and Easy to use.
1000174,852,56000056,1000023,1,Had issues with Slow delivery.
1000175,337,56000056,1000023,4,"Poor quality Rodriguez, Mercado and Miller Politics. Slow delivery."
1000176,874,57000057,1000024,2,"Decent Bennett, Garza and Hunter Daughter. Easy to use, but Slow delivery."
1000177,4,58000058,1000026,4,Wouldn't recommend. Short battery life.
1000178,927,58000058,1000026,3,Disappointed with this Hancock LLC Close. Poor build quality.
1000179,577,59000059,1000026,5,Great Hinton-Hill Employee! Superior performance. Highly recommend!
1000180,679,60000060,1000026,2,"Average Jackson, Curtis and Montes Energy. Meets basic expectations."
1000181,977,60000060,1000026,5,Wouldn't recommend. Underperforms.
1000182,565,61000061,1000026,2,Not worth the price. Complicated to use.
1000183,372,61000061,1000026,2,"Not bad, but not great. Meets basic expectations."
1000184,629,62000062,1000027,1,"Beautiful design, however Complicated to use."
1000185,475,62000062,1000027,3,Wouldn't recommend. Short battery life.
1000186,622,63000063,1000027,4,Easy to use. Worth every penny!
1000187,888,63000063,1000027,5,Disappointed with this Wise PLC Benefit. Underperforms.
1000188,480,64000064,1000028,3,Average Hernandez-Reyes City. Could be better.
1000189,392,64000064,1000028,5,Disappointed with this Espinoza PLC Wife. Poor build quality.
1000190,998,64000064,1000028,1,Great Parrish-Kemp Land! Beautiful design. Highly recommend!
1000191,443,65000065,1000029,2,Not worth the price. Unresponsive customer service.
1000192,723,65000065,1000029,4,Had issues with Overpriced.
1000193,120,65000065,1000029,1,Really happy with this purchase. Great customer service and Superior performance.
1000194,468,65000065,1000029,2,"Excellent build quality, however Doesn't fit well."
1000195,215,65000065,1000029,4,Average Short PLC Me. Fair for the price.
1000196,585,65000065,1000029,5,"Excellent quality Rhodes, Rogers and Kaufman Manager. Superior performance."
1000197,473,66000066,1000030,2,"Not bad, but not great. Average performance."
1000198,929,66000066,1000030,5,Really happy with this purchase. Superior performance and Incredible value.
1000199,518,66000066,1000030,5,Great Wall-Craig Argue! Great customer service. Highly recommend!
1000200,299,67000067,1000031,3,Had issues with Slow delivery.
1000201,836,67000067,1000031,1,Good enough for the price. Meets basic expectations.
1000202,311,68000068,1000031,3,"Excellent quality Acevedo, Lopez and Ross Southern. Superior performance."
1000203,139,68000068,1000031,5,Really happy with this purchase. Superior performance and Easy to use.
1000204,827,68000068,1000031,1,Disappointed with this West LLC Hold. Complicated to use.
1000205,490,68000068,1000031,3,Disappointed with this Morrison Ltd Suggest. Missing features.
1000206,919,68000068,1000031,2,Excellent build quality. Worth every penny!
1000207,464,69000069,1000031,2,"Average Willis, Mccoy and Harmon School. Fair for the price."
1000208,218,70000070,1000033,3,Excellent quality Walters-Hoover National. Amazing features.
1000209,376,70000070,1000033,1,Had issues with Overpriced.
1000210,774,70000070,1000033,1,Wouldn't recommend. Short battery life.
1000211,116,70000070,1000033,5,Good enough for the price. Meets basic expectations.
1000212,816,71000071,1000033,5,Excellent quality Carter-Carroll Quickly. Fast shipping.
1000213,92,71000071,1000033,1,Superior performance. Worth every penny!
1000214,7,71000071,1000033,1,Best Adams-Johnson My I've bought. Easy to use.
1000215,960,72000072,1000033,1,Average Evans-Soto These. Fair for the price.
1000216,642,72000072,1000033,1,Excellent quality Cooper LLC Fire. Beautiful design.
1000217,425,72000072,1000033,1,Really happy with this purchase. Perfect fit and Superior performance.
1000218,821,73000073,1000034,4,Incredible value. Worth every penny!
1000219,285,73000073,1000034,2,"Poor quality Perez, Hernandez and Norton Five. Underperforms."
1000220,19,73000073,1000034,4,Best Carey-Johnson Game I've bought. Easy to use.
1000221,241,74000074,1000034,1,Best Gardner-Jones Plan I've bought. Long battery life.
1000222,234,74000074,1000034,4,Really happy with this purchase. Fast shipping and Perfect fit.
1000223,80,75000075,1000034,1,"Excellent build quality, however Complicated to use."
1000224,584,76000076,1000035,1,Not worth the price. Short battery life.
1000225,188,76000076,1000035,3,Disappointed with this Sandoval-Anderson Now. Slow delivery.
1000226,198,76000076,1000035,2,Disappointed with this Hall-Chen From. Doesn't fit well.
1000227,49,77000077,1000035,4,Poor quality Gardner-Lutz Court. Complicated to use.
1000228,918,77000077,1000035,4,"Great King, Craig and Ramirez Million! Amazing features. Highly recommend!"
1000229,926,77000077,1000035,1,Amazing features. Worth every penny!
1000230,749,78000078,1000036,1,Disappointed with this Nguyen and Sons Tv. Short battery life.
1000231,613,78000078,1000036,5,"Poor quality Quinn, Bradley and Wallace Traditional. Poor build quality."
1000232,35,79000079,1000036,2,Not worth the price. Underperforms.
1000233,788,79000079,1000036,3,"Disappointed with this Fitzgerald, Rodriguez and Blackburn Discussion. Doesn't fit well."
1000234,263,79000079,1000036,5,Had issues with Slow delivery.
1000235,760,79000079,1000036,3,Excellent quality Vega and Sons Animal. Superior performance.
1000236,852,79000079,1000036,4,Excellent quality Miller Inc Instead. Perfect fit.
1000237,672,79000079,1000036,1,Not worth the price. Short battery life.
1000238,615,79000079,1000036,4,Had issues with Missing features.
1000239,212,79000079,1000036,1,"Great Holland, Welch and Fowler Truth! Long battery life. Highly recommend!"
1000240,436,80000080,1000037,2,Excellent quality Washington-Wilson Spring. Incredible value.
1000241,417,80000080,1000037,5,Disappointed with this Richard LLC Soldier. Unappealing design.
1000242,773,80000080,1000037,5,Not worth the price. Missing features.
1000243,888,81000081,1000038,4,Wouldn't recommend. Unresponsive customer service.
1000244,673,81000081,1000038,4,Perfect fit. Worth every penny!
1000245,430,81000081,1000038,5,Had issues with Slow delivery.
1000246,350,82000082,1000038,3,Best Schroeder Inc Subject I've bought. Incredible value.
1000247,571,82000082,1000038,2,Disappointed with this Farmer PLC Blood. Short battery life.
1000248,544,82000082,1000038,2,Had issues with Doesn't fit well.
1000249,454,82000082,1000038,5,Really happy with this purchase. Easy to use and Incredible value.
1000250,928,83000083,1000039,1,"Great Harper, Arnold and Mann Bank! Superior performance. Highly recommend!"
1000251,500,83000083,1000039,3,"Poor quality Willis, Bailey and Anderson First. Underperforms."
1000252,317,84000084,1000040,4,Wouldn't recommend. Underperforms.
1000253,203,84000084,1000040,2,"Best Gibson, Benson and Moyer Affect I've bought. Beautiful design."
1000254,994,84000084,1000040,3,Really happy with this purchase. Long battery life and Great customer service.
1000255,990,85000085,1000040,4,Had issues with Underperforms.
1000256,331,85000085,1000040,1,Really happy with this purchase. Great customer service and Superior performance.
1000257,434,85000085,1000040,4,Really happy with this purchase. Superior performance and Excellent build quality.
1000258,988,86000086,1000040,5,Disappointed with this Smith and Sons Fight. Underperforms.
1000259,449,86000086,1000040,4,Average Green PLC Yeah. Average performance.
1000260,485,86000086,1000040,5,Not worth the price. Poor build quality.
1000261,63,86000086,1000040,5,"Superior performance, however Underperforms."
1000262,988,87000087,1000040,4,Wouldn't recommend. Underperforms.
1000263,513,87000087,1000040,4,Had issues with Complicated to use.
1000264,96,87000087,1000040,5,"Easy to use, however Overpriced."
1000265,14,87000087,1000040,1,Disappointed with this Mcintyre Ltd Eye. Short battery life.
1000266,529,87000087,1000040,1,Wouldn't recommend. Missing features.
1000267,442,88000088,1000041,3,"Excellent quality Jackson, Houston and York Get. Superior performance."
1000268,955,89000089,1000041,2,"Best Brown, Kline and Ramirez Spend I've bought. Amazing features."
1000269,799,89000089,1000041,3,Beautiful design. Worth every penny!
1000270,84,89000089,1000041,3,"Beautiful design, however Unresponsive customer service."
1000271,301,90000090,1000041,1,Not worth the price. Unappealing design.
1000272,785,90000090,1000041,4,Really happy with this purchase. Fast shipping and Incredible value.
1000273,128,90000090,1000041,2,Excellent quality Gordon-Johnson Political. Beautiful design.
1000274,940,90000090,1000041,1,Great customer service. Worth every penny!
1000275,292,91000091,1000042,3,Poor quality Bryan-Bruce Language. Overpriced.
1000276,764,91000091,1000042,1,Excellent quality Gray PLC Stock. Superior performance.
1000277,135,91000091,1000042,1,"Excellent quality Klein, Thomas and Jackson That. Fast shipping."
1000278,743,91000091,1000042,1,Excellent quality Perez-Cooper Task. Superior performance.
1000279,76,91000091,1000042,3,Not worth the price. Complicated to use.
1000280,293,91000091,1000042,1,Best Brown-Daniels Save I've bought. Beautiful design.
1000281,971,91000091,1000042,4,"Great Myers, Brandt and Richards Player! Long battery life. Highly recommend!"
1000282,900,92000092,1000042,5,Wouldn't recommend. Complicated to use.
1000283,154,92000092,1000042,3,Good enough for the price. Average performance.
1000284,553,92000092,1000042,2,"Poor quality Brown, Tanner and Anderson Mother. Complicated to use."
1000285,371,92000092,1000042,3,Had issues with Unappealing design.
1000286,909,93000093,1000042,1,Disappointed with this Johnson and Sons Focus. Unappealing design.
1000287,549,93000093,1000042,3,Best Mueller-Morrow Month I've bought. Amazing features.
1000288,842,94000094,1000042,2,"Poor quality Carr, Harris and Diaz College. Complicated to use."
1000289,264,94000094,1000042,1,Best Brown-Jackson West I've bought. Superior performance.
1000290,149,94000094,1000042,2,Wouldn't recommend. Doesn't fit well.
1000291,244,94000094,1000042,3,Disappointed with this Hernandez-Morales Specific. Poor build quality.
1000292,412,95000095,1000042,2,Poor quality Johnston-Fisher Rock. Doesn't fit well.
1000293,927,95000095,1000042,3,Excellent quality Hancock LLC Close. Superior performance.
1000294,604,95000095,1000042,2,Great Cox-Carter Deal! Fast shipping. Highly recommend!
1000295,219,96000096,1000043,1,Really happy with this purchase. Excellent build quality and Fast shipping.
1000296,484,97000097,1000043,3,Had issues with Short battery life.
1000297,645,97000097,1000043,5,Best Pierce-Miller Protect I've bought. Great customer service.
1000298,857,98000098,1000043,4,Had issues with Unresponsive customer service.
1000299,70,98000098,1000043,2,Not worth the price. Underperforms.
1000300,986,99000099,1000043,1,Good enough for the price. Average performance.
1000301,801,99000099,1000043,3,"Not bad, but not great. Fair for the price."
1000302,705,99000099,1000043,2,Best Robles Group East I've bought. Superior performance.
1000303,912,99000099,1000043,1,"Poor quality Mckay, Burns and Garza Issue. Underperforms."
1000304,825,100000100,1000043,2,"Excellent quality Pearson, Lindsey and Lane Citizen. Easy to use."
1000305,52,101000101,1000044,2,Great Dorsey-Richmond Listen! Superior performance. Highly recommend!
1000306,152,101000101,1000044,2,Excellent quality Moreno-Davidson Quickly. Excellent build quality.
1000307,997,102000102,1000044,2,Really happy with this purchase. Amazing features and Superior performance.
1000308,721,102000102,1000044,2,"Decent Sanchez Inc Team. Fast shipping, but Unappealing design."
1000309,161,103000103,1000044,2,Wouldn't recommend. Doesn't fit well.
1000310,917,103000103,1000044,1,Had issues with Underperforms.
1000311,583,104000104,1000044,5,Wouldn't recommend. Complicated to use.
1000312,507,104000104,1000044,5,Best Taylor LLC Film I've bought. Fast shipping.
1000313,807,105000105,1000044,3,Had issues with Missing features.
1000314,171,106000106,1000045,4,Excellent quality Herrera Inc Vote. Easy to use.
1000315,66,106000106,1000045,5,Had issues with Doesn't fit well.
1000316,712,106000106,1000045,3,Great customer service. Worth every penny!
1000317,108,107000107,1000045,1,"Great Duncan, Morales and Finley Also! Long battery life. Highly recommend!"
1000318,368,107000107,1000045,2,"Best Collins, Williams and Curtis Know I've bought. Amazing features."
1000319,276,108000108,1000046,1,Really happy with this purchase. Incredible value and Great customer service.
1000320,459,108000108,1000046,2,"Disappointed with this Johnson, Baker and Hurley Small. Unappealing design."
1000321,751,108000108,1000046,4,"Average King, Davidson and Christensen Pick. Could be better."
1000322,885,108000108,1000046,3,"Poor quality Contreras, Green and Grant Can. Slow delivery."
1000323,303,108000108,1000046,1,Great Chen LLC Human! Long battery life. Highly recommend!
1000324,131,109000109,1000046,3,"Not bad, but not great. Fair for the price."
1000325,172,109000109,1000046,4,Average Mccarthy-Cox Matter. Meets basic expectations.
1000326,724,109000109,1000046,4,Really happy with this purchase. Fast shipping and Beautiful design.
1000327,735,110000110,1000046,5,Excellent quality Phillips-Strickland Firm. Perfect fit.
1000328,35,110000110,1000046,4,Really happy with this purchase. Excellent build quality and Incredible value.
1000329,145,110000110,1000046,3,Wouldn't recommend. Unappealing design.
1000330,149,110000110,1000046,2,Had issues with Underperforms.
1000331,200,111000111,1000046,5,Really happy with this purchase. Fast shipping and Great customer service.
1000332,625,111000111,1000046,1,Wouldn't recommend. Unresponsive customer service.
1000333,597,111000111,1000046,2,Best Smith-Moore Into I've bought. Amazing features.
1000334,281,111000111,1000046,3,"Not bad, but not great. Fair for the price."
1000335,503,112000112,1000047,4,Amazing features. Worth every penny!
1000336,302,112000112,1000047,5,Wouldn't recommend. Poor build quality.
1000337,640,112000112,1000047,3,"Best Sparks, Clark and Woodard Friend I've bought. Superior performance."
1000338,13,113000113,1000047,1,"Decent Martin LLC Low. Incredible value, but Unappealing design."
1000339,952,113000113,1000047,2,Long battery life. Worth every penny!
1000340,825,113000113,1000047,4,Superior performance. Worth every penny!
1000341,200,114000114,1000047,3,Wouldn't recommend. Overpriced.
1000342,741,114000114,1000047,3,Had issues with Unappealing design.
1000343,483,115000115,1000048,4,Great Rodriguez Inc Chance! Great customer service. Highly recommend!
1000344,469,115000115,1000048,1,Good enough for the price. Average performance.
1000345,975,115000115,1000048,1,Great customer service. Worth every penny!
1000346,804,116000116,1000048,3,Really happy with this purchase. Fast shipping and Easy to use.
1000347,927,116000116,1000048,4,Had issues with Short battery life.
1000348,224,116000116,1000048,5,Poor quality Hernandez-Wiley There. Unresponsive customer service.
1000349,485,116000116,1000048,1,"Not bad, but not great. Average performance."
1000350,677,116000116,1000048,5,Poor quality Johnson-Newman Mrs. Overpriced.
1000351,448,116000116,1000048,4,Good enough for the price. Fair for the price.
1000352,85,117000117,1000048,3,Excellent quality Graham-Wells Bring. Easy to use.
1000353,687,118000118,1000049,4,"Not bad, but not great. Meets basic expectations."
1000354,747,118000118,1000049,3,Good enough for the price. Could be better.
1000355,108,118000118,1000049,3,Good enough for the price. Standard quality.
1000356,195,118000118,1000049,1,Wouldn't recommend. Underperforms.
1000357,221,118000118,1000049,5,Wouldn't recommend. Overpriced.
1000358,691,119000119,1000049,5,Disappointed with this Hess Ltd Rate. Unappealing design.
1000359,344,119000119,1000049,4,Wouldn't recommend. Short battery life.
1000360,922,119000119,1000049,5,Not worth the price. Unresponsive customer service.
1000361,540,119000119,1000049,5,Great Myers LLC Wall! Long battery life. Highly recommend!
1000362,90,119000119,1000049,3,Poor quality Hudson-Gordon Soldier. Poor build quality.
1000363,709,120000120,1000050,2,"Easy to use, however Doesn't fit well."
1000364,706,120000120,1000050,4,Disappointed with this Francis LLC Character. Unappealing design.
1000365,902,121000121,1000051,2,"Average Thompson, Edwards and Thornton Difference. Fair for the price."
1000366,42,121000121,1000051,4,Wouldn't recommend. Slow delivery.
1000367,918,122000122,1000051,3,"Disappointed with this King, Craig and Ramirez Million. Poor build quality."
1000368,632,122000122,1000051,4,"Disappointed with this Peterson, Waller and Lambert Firm. Slow delivery."
1000369,843,123000123,1000051,2,Had issues with Missing features.
1000370,978,123000123,1000051,2,Best Smith-Rodriguez Them I've bought. Incredible value.
1000371,9,123000123,1000051,3,Good enough for the price. Standard quality.
