customer_id,email,first_name,last_name,age,gender,annual_income,customer_segment,marital_status,education,location_type,city,state,country,signup_date,last_login,preferred_channel,is_active
25,perezerika@example.net,Adam,Brown,71,M,73099,Mid Value,Widowed,Bachelor,Urban,Amandaview,Delaware,USA,2024-05-12,2024-05-22,Mobile App,True
26,pughcollin@example.org,Samantha,Garcia,27,Other,58094,Mid Value,Single,Bachelor,Suburban,Reneeview,New York,USA,2024-03-30,2024-04-02,Email,True
27,jessica22@example.org,Sean,Young,19,F,28608,Low Value,Single,Some College,Suburban,North Marisastad,Alaska,USA,2023-02-07,2023-02-12,Web,True
28,jeanbrown@example.org,Katherine,Wood,28,F,48716,Low Value,Widowed,High School,Rural,Tylermouth,Washington,USA,2024-08-29,2024-09-06,Mobile App,True
29,christopherreynolds@example.com,Luis,Marks,31,F,42859,Low Value,Divorced,Bachelor,Suburban,New Debrastad,Washington,USA,2024-12-19,2025-01-18,Web,True
30,perezjulie@example.net,Cheryl,Russo,34,M,56799,Mid Value,Divorced,Bachelor,Suburban,North Kayla,Nebraska,USA,2025-01-14,2025-01-21,Email,True
31,howardholland@example.com,Dan,Raymond,58,F,64088,Mid Value,Widowed,Some College,Suburban,Curtisville,New Mexico,USA,2023-07-04,2023-07-15,Web,True
32,forderic@example.net,Andrea,Wagner,26,M,47268,Low Value,Single,Master,Suburban,Garyhaven,Tennessee,USA,2024-04-12,2024-04-26,Web,True
33,stephensonsamuel@example.org,Kevin,Hopkins,37,F,65706,Mid Value,Married,Bachelor,Suburban,Davidmouth,Ohio,USA,2024-06-02,2024-07-01,Mobile App,True
34,michelle80@example.org,Frank,Hunt,52,M,79613,Mid Value,Married,Bachelor,Urban,East David,New York,USA,2024-11-08,2024-12-05,Web,True
35,jacobskristen@example.com,Willie,Mitchell,55,F,68905,Mid Value,Married,Bachelor,Urban,Port Philip,Illinois,USA,2023-09-05,2023-09-30,Mobile App,True
36,zwood@example.org,Marcus,Levy,53,Other,88753,High Value,Single,Some College,Urban,Annamouth,Delaware,USA,2024-01-08,2024-01-23,Mobile App,True
37,stuart53@example.org,Jeffrey,Hernandez,55,M,67429,Mid Value,Divorced,Bachelor,Urban,Lisafurt,Idaho,USA,2024-02-02,2024-02-02,Email,True
38,smejia@example.org,Brian,Thompson,47,F,101400,High Value,Married,Master,Urban,Jonathonland,Kentucky,USA,2023-11-06,2023-12-02,Mobile App,True
39,santosbenjamin@example.org,Larry,Smith,55,Other,91236,High Value,Divorced,High School,Rural,West Mark,Pennsylvania,USA,2024-10-05,2024-10-16,Web,True
40,amandawade@example.com,Michael,Simmons,48,Other,68136,Mid Value,Single,Bachelor,Urban,Adriennestad,Texas,USA,2024-05-01,2024-05-24,Web,True
41,drakemariah@example.com,Lisa,Mcgrath,31,Other,45567,Low Value,Single,Bachelor,Urban,New Keithberg,Missouri,USA,2024-09-10,2024-09-20,Mobile App,False
42,hcross@example.com,Jeffrey,Ramirez,69,Other,62157,Mid Value,Single,Master,Urban,West Charles,Minnesota,USA,2023-04-24,2023-04-26,Web,True
43,qjones@example.com,William,Castillo,29,F,49494,Low Value,Single,High School,Suburban,Butlerview,Florida,USA,2023-09-22,2023-09-26,Mobile App,True
44,janetjohnson@example.com,Jerry,Keith,57,M,90931,High Value,Divorced,High School,Suburban,North Johnview,Virginia,USA,2024-11-01,2024-11-22,Web,True
45,nancygutierrez@example.com,Jason,Jensen,42,Other,61872,Mid Value,Widowed,Bachelor,Suburban,Lake Michael,Maine,USA,2024-12-26,2025-01-10,Email,True
46,martinezrobert@example.com,Casey,Sampson,47,F,91725,High Value,Widowed,High School,Urban,Jessicashire,Washington,USA,2023-05-08,2023-06-07,Mobile App,True
47,hendersonbilly@example.org,Tony,Baker,39,F,68398,Mid Value,Single,Master,Rural,Julieville,Massachusetts,USA,2025-01-12,2025-01-31,Email,True
48,shirleyblack@example.net,Ann,Powell,73,M,81730,High Value,Widowed,Some College,Rural,Wendyhaven,Virginia,USA,2023-08-07,2023-09-02,Mobile App,True
49,nicholskelly@example.com,Kyle,Pennington,34,M,72131,Mid Value,Married,Bachelor,Suburban,Mooreburgh,Texas,USA,2023-01-30,2023-02-12,Web,True
50,sabrinahumphrey@example.com,Angela,Johnson,24,Other,27800,Low Value,Single,Bachelor,Urban,Jonathanmouth,Nebraska,USA,2024-10-02,2024-10-15,Mobile App,True
51,ramirezkristi@example.net,Jasmine,Tanner,26,M,45505,Low Value,Married,Bachelor,Urban,Ryanfort,North Dakota,USA,2024-11-13,2024-12-04,Web,True
52,zmccoy@example.net,Amy,Anderson,32,F,42524,Low Value,Single,Master,Urban,West Josephfort,South Carolina,USA,2024-02-16,2024-02-21,Web,True
53,huertaamanda@example.org,Andrea,Roth,40,M,80760,High Value,Married,Bachelor,Suburban,North Mistytown,Idaho,USA,2023-11-25,2023-12-05,Web,True
54,castroricky@example.net,Robert,Schmitt,37,Other,70213,Mid Value,Widowed,Some College,Suburban,Marvinville,Utah,USA,2023-09-12,2023-10-06,Mobile App,True
55,kathrynterry@example.org,Brandon,Chambers,34,M,89011,High Value,Single,Master,Rural,Stuartport,North Carolina,USA,2023-08-16,2023-08-29,Mobile App,True
56,kellymargaret@example.org,Amy,Curtis,33,F,69393,Mid Value,Divorced,Some College,Suburban,Englishfurt,Montana,USA,2023-12-08,2023-12-27,Mobile App,True
57,hollandmary@example.net,Melissa,Perez,42,F,79373,Mid Value,Widowed,Bachelor,Rural,Hallmouth,South Dakota,USA,2023-06-20,2023-07-19,Web,True
58,leblancdakota@example.org,Cynthia,Rodriguez,23,F,23039,Low Value,Widowed,Some College,Suburban,West Johnshire,Vermont,USA,2025-01-17,2025-01-20,Mobile App,True
59,espinozaricardo@example.net,Kimberly,Rios,20,M,21230,Low Value,Married,Bachelor,Rural,New Keith,Montana,USA,2023-01-24,2023-01-30,Mobile App,True
60,donaldholland@example.com,Mary,Cox,30,Other,37599,Low Value,Widowed,Bachelor,Urban,Lauraport,New Hampshire,USA,2024-11-04,2024-11-18,Mobile App,True
61,cwilliams@example.org,Troy,Ramirez,47,F,94006,High Value,Divorced,Bachelor,Urban,Millerhaven,Texas,USA,2024-08-15,2024-08-17,Web,True
62,moonwarren@example.net,Stephen,Wall,35,M,75087,Mid Value,Widowed,Some College,Suburban,Port Emilyport,Nevada,USA,2023-03-17,2023-04-07,Web,True
63,yhunt@example.net,Brandon,Mcmillan,29,F,37617,Low Value,Widowed,High School,Suburban,Alexanderborough,Illinois,USA,2023-12-30,2024-01-26,Mobile App,True
64,sarah62@example.org,Samuel,Mendez,23,M,38093,Low Value,Single,Master,Urban,Nealstad,Tennessee,USA,2023-07-30,2023-08-24,Web,False
65,lvasquez@example.org,Hector,Benton,24,M,29480,Low Value,Married,Master,Urban,Nicolasberg,California,USA,2024-12-17,2025-01-06,Email,True
66,jose48@example.com,Kristen,Sherman,35,M,71467,Mid Value,Single,Bachelor,Urban,Evanborough,Wisconsin,USA,2023-06-25,2023-07-23,Email,True
67,juliegraham@example.org,Nicholas,Watson,47,F,114183,High Value,Divorced,High School,Suburban,West Kaylachester,Maryland,USA,2024-03-13,2024-03-30,Mobile App,True
68,gabrielwashington@example.com,Jacob,Yates,25,Other,38105,Low Value,Divorced,High School,Urban,Jordantown,Virginia,USA,2023-01-24,2023-01-28,Mobile App,True
69,idrake@example.org,Christopher,Riley,31,Other,45821,Low Value,Widowed,High School,Suburban,Mariamouth,Maryland,USA,2024-09-19,2024-10-13,Mobile App,True
70,christopher98@example.org,Katherine,Mcneil,38,F,61088,Mid Value,Single,High School,Suburban,South Steven,Delaware,USA,2023-12-28,2024-01-18,Web,True
71,villamatthew@example.net,Jeff,Webster,23,Other,20000,Low Value,Divorced,Bachelor,Urban,Edwardsland,Rhode Island,USA,2023-11-07,2023-11-29,Mobile App,True
72,markbailey@example.com,Bridget,Walker,27,F,43005,Low Value,Married,Some College,Urban,North Robertview,New Jersey,USA,2023-01-11,2023-01-15,Mobile App,True
73,dsmith@example.com,Adam,Reyes,21,M,31180,Low Value,Divorced,High School,Rural,Ryanstad,Hawaii,USA,2024-11-30,2024-12-06,Web,True
74,robert12@example.org,Shelia,Hayes,27,Other,41330,Low Value,Single,Bachelor,Rural,Jacksonberg,Delaware,USA,2023-05-25,2023-06-21,Web,True
75,douglas25@example.com,Donna,Steele,69,Other,70695,Mid Value,Widowed,High School,Urban,Merrittton,Alabama,USA,2024-03-12,2024-04-07,Email,True
76,loricarter@example.net,Bradley,Blair,50,F,91152,High Value,Divorced,High School,Urban,Port Isabella,New Hampshire,USA,2024-01-18,2024-01-20,Mobile App,True
77,carranita@example.com,Nathan,Duncan,29,Other,46094,Low Value,Divorced,Some College,Suburban,North Troyport,Ohio,USA,2024-12-03,2024-12-12,Mobile App,True
78,millersusan@example.net,Sarah,Neal,26,F,43437,Low Value,Married,High School,Suburban,Jasonbury,Kentucky,USA,2024-02-21,2024-03-10,Mobile App,True
79,ohughes@example.com,Charles,Torres,46,F,92529,High Value,Single,Bachelor,Suburban,Edwardhaven,Kentucky,USA,2023-05-02,2023-05-12,Mobile App,True
80,andersonrichard@example.com,Sarah,Hill,54,Other,96629,High Value,Married,Bachelor,Rural,Morrisonfurt,Texas,USA,2025-01-18,2025-01-19,Web,True
81,ethanhurley@example.com,Chase,Sweeney,23,Other,25685,Low Value,Single,Some College,Suburban,Dunnbury,Oregon,USA,2023-05-17,2023-05-27,Web,True
82,julie54@example.net,Kim,Bryan,40,Other,84109,High Value,Single,Bachelor,Suburban,West Ericton,Alabama,USA,2023-10-05,2023-11-04,Mobile App,True
83,crystalcollins@example.net,Robert,Marshall,56,M,88521,High Value,Divorced,Master,Urban,Lake Johnfurt,Ohio,USA,2024-11-23,2024-11-24,Web,True
84,benjamin97@example.com,Jessica,Jimenez,23,F,32617,Low Value,Married,Bachelor,Suburban,Christopherhaven,New Mexico,USA,2024-12-03,2024-12-17,Mobile App,True
85,amandapaul@example.net,Lauren,Sharp,35,Other,77082,Mid Value,Single,Bachelor,Urban,Kochville,Maryland,USA,2023-10-10,2023-10-17,Email,False
86,stephanie08@example.org,Andrew,Jackson,68,Other,75706,Mid Value,Widowed,Bachelor,Suburban,Higginsstad,South Carolina,USA,2023-01-08,2023-01-11,Email,True
87,vshields@example.org,Jacqueline,Richardson,32,M,53457,Mid Value,Married,Master,Suburban,East Holly,Delaware,USA,2023-05-15,2023-05-26,Web,True
88,nsutton@example.com,Leslie,Cox,31,M,49294,Low Value,Divorced,Bachelor,Suburban,Stricklandmouth,Wisconsin,USA,2023-07-05,2023-07-28,Mobile App,True
89,phamilton@example.com,Patricia,Torres,40,M,63875,Mid Value,Married,Some College,Suburban,Ashleychester,Tennessee,USA,2023-04-01,2023-04-26,Web,True
90,wadelogan@example.com,Eddie,Vasquez,36,M,73615,Mid Value,Widowed,High School,Urban,Villanuevaland,Colorado,USA,2024-02-26,2024-03-24,Mobile App,True
91,donna26@example.com,Rachel,Cole,44,Other,72844,Mid Value,Widowed,High School,Urban,Robertside,New York,USA,2024-01-01,2024-01-30,Web,True
92,leah00@example.net,Maria,Carpenter,44,M,91628,High Value,Married,Master,Suburban,North Jeffreymouth,New Hampshire,USA,2023-07-05,2023-07-11,Email,True
93,wjackson@example.org,Belinda,Garcia,39,F,69667,Mid Value,Single,High School,Rural,Gouldview,New York,USA,2024-04-14,2024-04-18,Mobile App,True
94,berryrhonda@example.org,Shawn,Anderson,36,M,67918,Mid Value,Single,High School,Rural,Cooperburgh,Pennsylvania,USA,2024-02-04,2024-02-27,Web,True
95,kevin51@example.net,Kaitlyn,Williamson,56,M,88071,High Value,Divorced,Bachelor,Rural,Laurieside,Arkansas,USA,2024-04-22,2024-05-14,Web,True
96,yhamilton@example.org,Kelsey,Wright,21,Other,20738,Low Value,Divorced,Some College,Suburban,South Andrewstad,Georgia,USA,2024-06-15,2024-07-13,Web,True
97,tuckermelissa@example.org,Megan,York,39,M,64512,Mid Value,Widowed,Bachelor,Urban,Hornton,California,USA,2023-09-22,2023-10-04,Web,True
98,gary33@example.org,Marilyn,Stewart,18,Other,33080,Low Value,Divorced,Bachelor,Suburban,New Charles,New Hampshire,USA,2023-10-19,2023-11-13,Mobile App,True
99,savannahsantana@example.com,Kristin,Butler,37,F,71598,Mid Value,Widowed,Master,Urban,Lindaview,New York,USA,2023-02-14,2023-03-04,Mobile App,True
100,rebeccamiller@example.com,David,Mitchell,24,Other,26077,Low Value,Married,High School,Suburban,Hernandezmouth,Maryland,USA,2023-10-19,2023-10-28,Email,True
101,michaeldunlap@example.org,Joseph,Smith,44,M,108985,High Value,Divorced,Bachelor,Urban,West Justinside,Illinois,USA,2023-09-23,2023-10-11,Email,True
102,jackkrueger@example.org,Kelly,Clark,38,M,61338,Mid Value,Widowed,Master,Suburban,Perryville,Ohio,USA,2025-01-28,2025-01-31,Email,True
103,dennisraymond@example.org,Brenda,Keller,71,F,85830,High Value,Single,Some College,Urban,Rachelmouth,Arkansas,USA,2023-12-04,2023-12-16,Web,True
104,varnold@example.org,Deanna,Martinez,32,M,50169,Mid Value,Single,Some College,Urban,South Ashley,Kansas,USA,2024-12-11,2024-12-25,Mobile App,True
105,drobinson@example.com,Samantha,Cohen,25,Other,28461,Low Value,Married,Some College,Urban,North Jeffrey,Kentucky,USA,2024-12-03,2024-12-13,Web,True
106,michelehernandez@example.org,David,Cain,33,M,87753,High Value,Married,Bachelor,Suburban,Jamesburgh,Pennsylvania,USA,2023-06-10,2023-06-16,Mobile App,True
107,owenspatrick@example.net,Lauren,Mason,37,Other,58063,Mid Value,Divorced,High School,Rural,Veronicashire,Nebraska,USA,2024-08-24,2024-08-28,Web,True
108,colleen13@example.com,Katelyn,Casey,32,Other,53244,Mid Value,Widowed,High School,Urban,Nguyenmouth,Kentucky,USA,2023-05-22,2023-06-01,Mobile App,True
109,mary99@example.com,Tiffany,Francis,38,Other,80005,High Value,Widowed,Bachelor,Suburban,Port Rachel,Arizona,USA,2023-10-19,2023-10-23,Email,True
110,kathy18@example.net,James,Anderson,47,M,79940,Mid Value,Divorced,High School,Urban,South Ronald,Illinois,USA,2024-05-13,2024-05-26,Mobile App,True
111,wallkatherine@example.com,Michael,May,26,Other,56202,Mid Value,Widowed,Bachelor,Suburban,Port Heather,Michigan,USA,2023-12-19,2023-12-20,Mobile App,True
112,hesterstephanie@example.com,Jennifer,Carpenter,18,F,30937,Low Value,Divorced,Some College,Suburban,Lake Tiffanyport,West Virginia,USA,2024-03-04,2024-04-02,Mobile App,True
113,mistyaguilar@example.net,Susan,Martinez,28,M,49304,Low Value,Married,Bachelor,Suburban,Mcfarlandville,Hawaii,USA,2023-06-13,2023-07-12,Mobile App,True
114,lindsay05@example.org,Kenneth,Flores,20,F,34127,Low Value,Single,Some College,Suburban,Lake Kimberly,Alabama,USA,2024-03-04,2024-03-18,Web,True
115,seanwilliams@example.net,Vanessa,Valenzuela,20,M,31660,Low Value,Single,High School,Urban,North Tina,Colorado,USA,2024-10-26,2024-11-06,Email,True
116,ashley87@example.net,Timothy,Wright,30,F,52567,Mid Value,Divorced,Bachelor,Urban,Shawnchester,Ohio,USA,2023-09-20,2023-09-30,Mobile App,True
117,edwin47@example.org,Jessica,Bennett,28,F,52459,Mid Value,Single,High School,Rural,New Colleen,Nebraska,USA,2023-12-07,2023-12-22,Mobile App,True
118,laceyjames@example.com,Jill,Lawson,50,F,63772,Mid Value,Married,Master,Urban,Rogershire,Arkansas,USA,2024-05-14,2024-06-01,Web,True
119,smithnathan@example.org,Alexandria,Fleming,24,F,40652,Low Value,Widowed,High School,Suburban,Hansenfurt,Montana,USA,2023-09-08,2023-10-01,Web,True
120,proberts@example.com,John,Gamble,45,M,65062,Mid Value,Married,Master,Urban,North Jamie,Kentucky,USA,2023-01-18,2023-01-22,Email,False
121,tonydavis@example.com,Austin,Johnson,28,M,53953,Mid Value,Widowed,Bachelor,Urban,Sherriberg,North Carolina,USA,2024-09-12,2024-10-02,Mobile App,True
122,howardcynthia@example.net,Stephanie,Pope,34,M,81267,High Value,Married,Master,Suburban,East Jasmine,Pennsylvania,USA,2023-02-27,2023-03-07,Mobile App,True
123,wadams@example.org,Michelle,Brown,24,M,25681,Low Value,Single,Some College,Rural,Lorettahaven,Vermont,USA,2024-01-27,2024-02-13,Email,True
124,brandonsmith@example.com,Aaron,Kline,48,Other,83837,High Value,Married,Bachelor,Suburban,Blakemouth,Florida,USA,2025-01-28,2025-01-31,Email,True
125,tduncan@example.org,Michael,Roman,34,M,58942,Mid Value,Married,High School,Urban,West Amandaburgh,Minnesota,USA,2023-03-29,2023-04-27,Mobile App,True
126,kim69@example.net,Laura,Robinson,74,F,69544,Mid Value,Divorced,High School,Urban,Michaelstad,Connecticut,USA,2024-04-19,2024-04-24,Web,True
127,bwarner@example.com,Kenneth,Taylor,22,F,30574,Low Value,Married,Bachelor,Urban,New Jessica,Maryland,USA,2024-07-02,2024-07-30,Web,True
128,thomastaylor@example.net,Erin,Hernandez,24,Other,37372,Low Value,Single,High School,Urban,East Kristenton,Montana,USA,2024-12-11,2025-01-10,Web,False
129,esmith@example.net,Wyatt,Frank,70,F,90516,High Value,Widowed,Master,Suburban,Lake Matthewberg,Nevada,USA,2023-09-22,2023-10-03,Email,True
130,kirkrich@example.net,Zachary,Rosales,31,F,56223,Mid Value,Single,Master,Suburban,Lake Timothymouth,Alaska,USA,2024-08-04,2024-08-24,Mobile App,True
131,patricia09@example.org,Kenneth,Love,49,M,81567,High Value,Divorced,Some College,Suburban,Lake Mary,California,USA,2023-12-17,2023-12-31,Mobile App,True
132,stephanie74@example.com,Emily,Herrera,37,F,67907,Mid Value,Single,Bachelor,Suburban,Ellismouth,Tennessee,USA,2023-01-15,2023-02-09,Web,True
133,laurensmith@example.org,William,Briggs,39,F,53165,Mid Value,Single,Some College,Suburban,West Emilyside,Rhode Island,USA,2023-02-24,2023-02-28,Web,True
134,steven51@example.net,Jeff,Mccoy,40,Other,61941,Mid Value,Single,Master,Urban,Singletonview,California,USA,2024-02-13,2024-03-09,Mobile App,True
135,wilsonsean@example.com,Albert,Patton,35,F,79648,Mid Value,Divorced,Master,Suburban,North Kevin,Hawaii,USA,2024-10-21,2024-10-24,Mobile App,True
136,maldonadowesley@example.org,Tracy,Barker,21,M,42597,Low Value,Divorced,Bachelor,Urban,North Madison,Texas,USA,2024-03-10,2024-03-22,Mobile App,True
137,martincorey@example.com,James,Roberts,30,F,39785,Low Value,Widowed,High School,Urban,Guzmantown,Mississippi,USA,2024-10-18,2024-10-27,Web,True
138,shealynn@example.org,Jessica,Flowers,75,Other,64353,Mid Value,Married,Bachelor,Suburban,East Jaclynfurt,Kansas,USA,2024-08-19,2024-09-16,Mobile App,True
139,robertmatthews@example.org,Bryan,Sullivan,22,Other,32334,Low Value,Divorced,High School,Suburban,Port Matthewburgh,North Dakota,USA,2024-01-18,2024-01-20,Mobile App,True
140,joe90@example.org,Kevin,Webb,43,F,94202,High Value,Single,Bachelor,Urban,Carterside,Hawaii,USA,2024-11-28,2024-12-14,Web,True
141,patrick17@example.org,Shari,Harrington,60,F,61367,Mid Value,Widowed,Some College,Suburban,Kristinside,Delaware,USA,2024-12-02,2024-12-29,Email,True
142,bwheeler@example.org,Barbara,Coffey,26,F,50150,Mid Value,Divorced,Bachelor,Suburban,West Christopherside,South Carolina,USA,2023-02-26,2023-02-27,Web,True
143,sydney54@example.com,Dennis,Irwin,30,Other,44538,Low Value,Married,Bachelor,Suburban,Alexanderchester,Mississippi,USA,2024-04-08,2024-04-28,Web,True
144,lisa67@example.org,Justin,Reynolds,31,M,47409,Low Value,Single,High School,Rural,Port Jasonfurt,Georgia,USA,2024-08-07,2024-08-28,Mobile App,True
145,chaneybradley@example.net,Robert,Taylor,56,F,98194,High Value,Single,Bachelor,Urban,Sandraview,Kentucky,USA,2023-01-13,2023-01-17,Email,True
146,longjeremy@example.org,Donna,Myers,29,Other,47540,Low Value,Married,Some College,Suburban,Mariaborough,Illinois,USA,2024-12-21,2024-12-22,Web,False
147,cheryl91@example.com,Leslie,Marquez,62,Other,66499,Mid Value,Widowed,Bachelor,Rural,North Collin,Pennsylvania,USA,2024-10-01,2024-10-09,Web,True
148,sleonard@example.org,Sandra,Rios,51,Other,88355,High Value,Widowed,Bachelor,Rural,Michellemouth,Alaska,USA,2024-09-01,2024-09-24,Web,True
149,ldaniels@example.com,Randy,Martin,46,Other,88674,High Value,Divorced,Some College,Urban,New Diana,Montana,USA,2024-09-22,2024-10-13,Web,True
150,lloydamy@example.org,Matthew,Mendoza,19,F,30187,Low Value,Divorced,Some College,Urban,Walkerfurt,Iowa,USA,2023-08-05,2023-08-06,Web,True
151,tonyahernandez@example.org,Todd,Jones,52,Other,86118,High Value,Married,High School,Rural,New Amber,North Carolina,USA,2024-04-14,2024-05-11,Mobile App,True
152,billcunningham@example.org,Daniel,Rich,32,F,57491,Mid Value,Widowed,Some College,Suburban,South Christian,Washington,USA,2024-09-14,2024-10-01,Web,True
153,veronicafigueroa@example.org,Erika,Hicks,53,F,98413,High Value,Single,Bachelor,Urban,New Sarahmouth,Virginia,USA,2023-12-18,2024-01-12,Web,True
154,zjohnson@example.com,Laura,Shaw,31,F,45653,Low Value,Single,High School,Urban,Dawsonville,New Mexico,USA,2025-01-10,2025-01-18,Mobile App,True
155,hannadavid@example.com,Mikayla,Berry,33,M,76969,Mid Value,Divorced,Some College,Suburban,West Donald,Kentucky,USA,2024-02-15,2024-03-09,Mobile App,False
156,caldwellkristen@example.net,Joseph,Ingram,28,F,45413,Low Value,Married,Some College,Urban,Larsenhaven,New Mexico,USA,2024-07-25,2024-07-30,Web,True
157,laurenbrown@example.org,Brian,Stanley,51,M,107596,High Value,Single,High School,Urban,New Charlesberg,New York,USA,2023-04-10,2023-05-02,Web,True
158,hoovercharles@example.net,Ashley,Davis,73,F,77582,Mid Value,Widowed,Some College,Suburban,East Ryan,Indiana,USA,2024-07-01,2024-07-22,Mobile App,True
159,ekelley@example.org,Brian,Strong,38,Other,68926,Mid Value,Widowed,Bachelor,Suburban,North Joshua,North Dakota,USA,2024-01-01,2024-01-04,Mobile App,True
160,michaelpacheco@example.com,Janet,Benitez,32,Other,50298,Mid Value,Single,Bachelor,Suburban,New Joel,Montana,USA,2023-10-09,2023-11-06,Mobile App,True
161,smithdavid@example.org,Alicia,Gordon,61,F,50900,Mid Value,Married,Bachelor,Urban,Port Catherineberg,Alabama,USA,2024-09-22,2024-09-22,Mobile App,True
162,rbrown@example.net,Patrick,Pierce,30,Other,40457,Low Value,Single,Bachelor,Suburban,Brucefurt,Montana,USA,2024-05-10,2024-06-01,Web,True
163,sherrigreen@example.org,Shelia,Oconnell,66,F,56083,Mid Value,Widowed,Some College,Suburban,Lisaview,West Virginia,USA,2024-07-06,2024-07-15,Web,True
164,njones@example.org,Keith,Johnson,30,Other,48393,Low Value,Divorced,Some College,Suburban,North Daryl,Kansas,USA,2025-01-08,2025-01-29,Mobile App,True
165,tjohnson@example.com,Janet,Bennett,46,F,115987,High Value,Single,High School,Urban,Browntown,Alabama,USA,2024-05-26,2024-06-20,Web,True
166,alexanderchoi@example.com,Jennifer,Harris,46,Other,120000,High Value,Widowed,Some College,Rural,West Kimberly,Nevada,USA,2024-09-26,2024-10-14,Email,True
167,kelly84@example.org,Crystal,Huang,40,F,76380,Mid Value,Single,Some College,Urban,East Jacquelineshire,Kentucky,USA,2024-04-07,2024-04-14,Web,True
168,qwoods@example.com,Julia,Morgan,20,F,35630,Low Value,Single,Bachelor,Suburban,West Benjamin,New York,USA,2023-08-07,2023-08-29,Web,True
169,kathleen74@example.com,Vicki,Barnes,35,Other,51989,Mid Value,Married,Bachelor,Urban,Longton,Delaware,USA,2024-12-16,2024-12-24,Email,True
